Year,Month,Day,Hour,Hs (m),v10 (m/s)
2008,6,7,6,1.186468199,1.206323375
2008,6,7,12,1.063983098,4.09233547
2008,6,7,18,1.187504014,5.898797035
2008,6,8,0,1.595874002,8.546309608
2008,6,8,6,1.558584669,6.523163124
2008,6,8,12,1.396738605,4.445742371
2008,6,8,18,1.428072003,5.358865748
2008,6,9,0,1.28512956,7.301734506
2008,6,9,6,1.857158288,10.33106479
2008,6,9,12,2.631947765,11.95231141
2008,6,9,18,2.823314551,10.00591581
2008,6,10,0,2.544421414,9.896610124
2008,6,10,6,2.731127033,10.25729498
2008,6,10,12,2.685551181,11.20402645
2008,6,10,18,2.791463246,10.75164692
2008,6,11,0,2.498068701,9.658554255
2008,6,11,6,2.18602949,9.666397295
2008,6,11,12,1.902216232,6.722744446
2008,6,11,18,1.62927903,7.884823816
2008,6,12,0,1.559620484,7.635209786
2008,6,12,6,1.578006197,8.095858134
2008,6,12,12,1.568683864,7.307956526
2008,6,12,18,1.562986882,7.518455041
2008,6,13,0,1.620733558,7.958464836
2008,6,13,6,1.558325715,7.383816275
2008,6,13,12,1.49151566,6.395353067
2008,6,13,18,1.403212448,7.238423049
2008,6,14,0,1.295228754,5.589386554
2008,6,14,6,1.223757532,6.942152661
2008,6,14,12,1.271922921,6.575254033
2008,6,14,18,1.417454901,7.981214844
